timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,answer
2026-08-07_16-21-52,0.5B_中文干净,1,2026-08-07 16:21:43,2026-08-07 16:21:52,9.3642,0.0,1445.43,True,运算方向反转,high,wrong
2026-08-07_16-22-01,0.5B_中文干净,2,2026-08-07 16:21:52,2026-08-07 16:22:01,8.7271,464.0,1443.21,True,运算方向反转,high,wrong
2026-08-07_16-22-15,0.5B_中文干净,3,2026-08-07 16:22:01,2026-08-07 16:22:15,14.6502,623.2,1449.34,True,运算方向反转,high,wrong
2026-08-07_16-22-33,0.5B_中文干净,4,2026-08-07 16:22:16,2026-08-07 16:22:33,17.059,623.2,1449.93,False,,none,4
2026-08-07_16-22-56,0.5B_中文干净,5,2026-08-07 16:22:33,2026-08-07 16:22:56,22.9511,620.9,1450.18,False,,none,4
2026-08-07_16-23-09,0.5B_中文干净,6,2026-08-07 16:22:56,2026-08-07 16:23:09,13.5538,463.8,1443.34,True,运算方向反转,high,wrong
2026-08-07_16-23-22,0.5B_中文干净,7,2026-08-07 16:23:09,2026-08-07 16:23:22,13.0665,623.2,1444.29,False,,none,4
2026-08-07_16-23-34,0.5B_中文干净,8,2026-08-07 16:23:22,2026-08-07 16:23:34,11.2555,464.3,1444.53,True,运算方向反转,high,wrong
2026-08-07_16-23-47,0.5B_中文干净,9,2026-08-07 16:23:34,2026-08-07 16:23:47,13.1575,466.3,1445.41,False,,none,4
2026-08-07_16-23-59,0.5B_中文干净,10,2026-08-07 16:23:47,2026-08-07 16:23:59,11.8742,464.1,1443.67,True,运算方向反转,high,wrong
2026-08-07_16-24-10,0.5B_中文干净,11,2026-08-07 16:23:59,2026-08-07 16:24:10,11.0842,529.2,1444.23,False,,none,4
2026-08-07_16-24-24,0.5B_中文干净,12,2026-08-07 16:24:10,2026-08-07 16:24:24,13.5612,464.3,1444.04,False,,none,4
2026-08-07_16-24-35,0.5B_中文干净,13,2026-08-07 16:24:24,2026-08-07 16:24:35,11.0861,465.8,1444.47,False,,none,4
2026-08-07_16-24-48,0.5B_中文干净,14,2026-08-07 16:24:35,2026-08-07 16:24:48,13.6454,465.6,1446.4,True,运算方向反转,high,wrong
2026-08-07_16-25-01,0.5B_中文干净,15,2026-08-07 16:24:48,2026-08-07 16:25:01,12.2946,465.0,1445.1,True,目标漂移,high,wrong
2026-08-07_16-25-12,0.5B_中文干净,16,2026-08-07 16:25:01,2026-08-07 16:25:12,11.1757,465.6,1443.54,False,,none,4
2026-08-07_16-25-22,0.5B_中文干净,17,2026-08-07 16:25:12,2026-08-07 16:25:22,10.2622,620.2,1442.64,True,运算方向反转,high,wrong
2026-08-07_16-25-33,0.5B_中文干净,18,2026-08-07 16:25:22,2026-08-07 16:25:33,10.3395,622.3,1445.32,True,运算方向反转,high,wrong
2026-08-07_16-25-46,0.5B_中文干净,19,2026-08-07 16:25:33,2026-08-07 16:25:46,13.5129,588.8,1443.14,False,,none,4
2026-08-07_16-26-02,0.5B_中文干净,20,2026-08-07 16:25:46,2026-08-07 16:26:02,15.7637,464.6,1450.14,True,运算方向反转,high,wrong
