timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,rounds,alignments,answer
2026-08-07_17-08-56,0.5B协同_中文干净,1,2026-08-07 17:08:29,2026-08-07 17:08:56,26.8206,0.0,2471.84,False,,none,1,[0.953],4
2026-08-07_17-09-18,0.5B协同_中文干净,2,2026-08-07 17:08:56,2026-08-07 17:09:18,22.2791,467.0,2471.39,False,,none,1,[0.996],4
2026-08-07_17-10-26,0.5B协同_中文干净,3,2026-08-07 17:09:18,2026-08-07 17:10:26,67.7214,463.9,2472.42,False,,none,2,"[0.969, 0.973]",4
2026-08-07_17-10-52,0.5B协同_中文干净,4,2026-08-07 17:10:26,2026-08-07 17:10:52,26.4699,465.7,2472.7,False,,none,1,[0.949],4
2026-08-07_17-11-52,0.5B协同_中文干净,5,2026-08-07 17:10:52,2026-08-07 17:11:52,59.3497,464.7,2472.68,True,静默跳跃-无害型,low,2,"[0.906, 0.969]",4
2026-08-07_17-12-57,0.5B协同_中文干净,6,2026-08-07 17:11:52,2026-08-07 17:12:57,65.1916,433.1,2472.77,False,,none,2,"[0.938, 0.973]",4
2026-08-07_17-13-19,0.5B协同_中文干净,7,2026-08-07 17:12:57,2026-08-07 17:13:19,22.4413,465.0,2472.46,False,,none,1,[0.977],4
2026-08-07_17-13-50,0.5B协同_中文干净,8,2026-08-07 17:13:19,2026-08-07 17:13:50,30.106,467.0,2473.2,False,,none,1,[0.957],4
2026-08-07_17-14-21,0.5B协同_中文干净,9,2026-08-07 17:13:50,2026-08-07 17:14:21,31.1062,465.6,2473.05,False,,none,1,[0.961],4
2026-08-07_17-14-48,0.5B协同_中文干净,10,2026-08-07 17:14:21,2026-08-07 17:14:48,27.6921,466.3,2473.1,False,,none,1,[0.949],4
2026-08-07_17-15-24,0.5B协同_中文干净,11,2026-08-07 17:14:49,2026-08-07 17:15:24,35.5688,466.0,2466.38,False,,none,1,[0.93],4
2026-08-07_17-17-03,0.5B协同_中文干净,12,2026-08-07 17:15:24,2026-08-07 17:17:03,99.2156,530.5,2466.54,False,,none,3,"[0.957, 0.992, 0.934]",4
2026-08-07_17-17-33,0.5B协同_中文干净,13,2026-08-07 17:17:03,2026-08-07 17:17:33,29.1129,621.1,2466.99,False,,none,1,[0.961],4
2026-08-07_17-17-58,0.5B协同_中文干净,14,2026-08-07 17:17:33,2026-08-07 17:17:58,25.8542,436.6,2465.94,False,,none,1,[0.961],4
2026-08-07_17-18-23,0.5B协同_中文干净,15,2026-08-07 17:17:59,2026-08-07 17:18:23,24.7222,465.3,2466.42,False,,none,1,[0.965],4
2026-08-07_17-18-44,0.5B协同_中文干净,16,2026-08-07 17:18:23,2026-08-07 17:18:44,20.5214,620.4,2466.32,False,,none,1,[1.0],4
2026-08-07_17-19-20,0.5B协同_中文干净,17,2026-08-07 17:18:44,2026-08-07 17:19:20,35.7987,463.7,2467.14,False,,none,1,[0.738],4
2026-08-07_17-19-42,0.5B协同_中文干净,18,2026-08-07 17:19:20,2026-08-07 17:19:42,22.6174,467.5,2466.41,False,,none,1,[0.984],4
2026-08-07_17-20-08,0.5B协同_中文干净,19,2026-08-07 17:19:42,2026-08-07 17:20:08,25.1483,620.2,2466.38,False,,none,1,[0.973],4
2026-08-07_17-20-31,0.5B协同_中文干净,20,2026-08-07 17:20:08,2026-08-07 17:20:31,23.8917,465.5,2466.1,False,,none,1,[0.996],4
