timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,answer
2026-08-07_16-50-58,1.5B_中文干扰,1,2026-08-07 16:50:43,2026-08-07 16:50:58,15.2926,0.0,3452.34,True,静默跳跃-无害型,low,4
2026-08-07_16-51-14,1.5B_中文干扰,2,2026-08-07 16:50:58,2026-08-07 16:51:14,15.2952,467.8,3452.66,True,静默跳跃-无害型,low,4
2026-08-07_16-51-42,1.5B_中文干扰,3,2026-08-07 16:51:14,2026-08-07 16:51:42,28.4756,465.5,3453.03,False,,none,4
2026-08-07_16-52-10,1.5B_中文干扰,4,2026-08-07 16:51:42,2026-08-07 16:52:10,27.5895,467.3,3452.79,True,静默跳跃-无害型,low,4
2026-08-07_16-52-26,1.5B_中文干扰,5,2026-08-07 16:52:10,2026-08-07 16:52:26,16.0453,465.3,3452.88,True,静默跳跃-无害型,low,4
2026-08-07_16-53-11,1.5B_中文干扰,6,2026-08-07 16:52:26,2026-08-07 16:53:11,44.7288,468.3,3457.29,False,,none,4
2026-08-07_16-53-57,1.5B_中文干扰,7,2026-08-07 16:53:11,2026-08-07 16:53:57,46.1591,467.5,3457.29,False,,none,4
2026-08-07_16-54-23,1.5B_中文干扰,8,2026-08-07 16:53:57,2026-08-07 16:54:23,26.59,468.2,3452.93,False,,none,4
2026-08-07_16-55-02,1.5B_中文干扰,9,2026-08-07 16:54:24,2026-08-07 16:55:02,38.9529,618.5,3457.34,False,,none,4
2026-08-07_16-55-30,1.5B_中文干扰,10,2026-08-07 16:55:03,2026-08-07 16:55:30,27.7764,464.6,3452.44,True,静默跳跃-无害型,low,4
2026-08-07_16-56-11,1.5B_中文干扰,11,2026-08-07 16:55:30,2026-08-07 16:56:11,40.3618,464.0,3450.61,False,,none,4
2026-08-07_16-56-26,1.5B_中文干扰,12,2026-08-07 16:56:11,2026-08-07 16:56:26,15.5783,311.5,3446.16,True,静默跳跃-无害型,low,4
2026-08-07_16-57-13,1.5B_中文干扰,13,2026-08-07 16:56:26,2026-08-07 16:57:13,46.5453,620.2,3450.82,False,,none,4
2026-08-07_16-57-51,1.5B_中文干扰,14,2026-08-07 16:57:13,2026-08-07 16:57:51,38.3591,463.7,3451.04,False,,none,4
2026-08-07_16-58-24,1.5B_中文干扰,15,2026-08-07 16:57:51,2026-08-07 16:58:24,32.599,466.0,3447.47,False,,none,4
2026-08-07_16-58-48,1.5B_中文干扰,16,2026-08-07 16:58:24,2026-08-07 16:58:48,23.5837,467.7,3446.92,True,静默跳跃-无害型,low,4
2026-08-07_16-59-26,1.5B_中文干扰,17,2026-08-07 16:58:48,2026-08-07 16:59:26,37.9973,467.7,3451.02,False,,none,4
2026-08-07_16-59-42,1.5B_中文干扰,18,2026-08-07 16:59:26,2026-08-07 16:59:42,15.8014,622.5,3445.76,True,静默跳跃-无害型,low,4
2026-08-07_17-00-17,1.5B_中文干扰,19,2026-08-07 16:59:42,2026-08-07 17:00:17,35.6746,465.6,3450.73,False,,none,4
2026-08-07_17-00-45,1.5B_中文干扰,20,2026-08-07 17:00:17,2026-08-07 17:00:45,27.8901,620.4,3447.54,True,静默跳跃-无害型,low,4
