timestamp,stage,question_index,start_time,end_time,duration_seconds,cpu_before,memory_used_mb,has_error,error_types,severity,rounds,alignments,answer
2026-08-07_18-03-26,1.5B协同_中文干扰,1,2026-08-07 18:02:33,2026-08-07 18:03:26,52.9074,0.0,4478.49,True,静默跳跃-无害型,low,1,[0.98],4
2026-08-07_18-04-35,1.5B协同_中文干扰,2,2026-08-07 18:03:26,2026-08-07 18:04:35,68.3173,465.1,4494.34,False,,none,1,[0.762],4
2026-08-07_18-05-48,1.5B协同_中文干扰,3,2026-08-07 18:04:35,2026-08-07 18:05:48,73.1189,529.0,4493.88,True,静默跳跃-无害型,low,1,[0.949],4
2026-08-07_18-07-05,1.5B协同_中文干扰,4,2026-08-07 18:05:48,2026-08-07 18:07:05,76.823,623.5,4494.49,True,静默跳跃-无害型,low,1,[0.914],4
2026-08-07_18-08-22,1.5B协同_中文干扰,5,2026-08-07 18:07:05,2026-08-07 18:08:22,76.7708,620.1,4487.85,False,,none,1,[0.91],4
2026-08-07_18-09-15,1.5B协同_中文干扰,6,2026-08-07 18:08:22,2026-08-07 18:09:15,53.4257,464.6,4479.89,False,,none,1,[0.848],4
2026-08-07_18-10-31,1.5B协同_中文干扰,7,2026-08-07 18:09:15,2026-08-07 18:10:31,76.1728,466.9,4488.12,False,,none,1,[0.953],4
2026-08-07_18-11-27,1.5B协同_中文干扰,8,2026-08-07 18:10:31,2026-08-07 18:11:27,55.7663,467.0,4486.59,False,,none,1,[0.922],4
2026-08-07_18-12-54,1.5B协同_中文干扰,9,2026-08-07 18:11:27,2026-08-07 18:12:54,86.6526,622.4,4482.46,False,,none,1,[0.984],4
2026-08-07_18-14-06,1.5B协同_中文干扰,10,2026-08-07 18:12:54,2026-08-07 18:14:06,72.1196,623.1,4482.49,False,,none,1,[0.898],4
2026-08-07_18-15-05,1.5B协同_中文干扰,11,2026-08-07 18:14:06,2026-08-07 18:15:05,58.7091,619.9,4482.45,False,,none,1,[0.953],4
2026-08-07_18-15-59,1.5B协同_中文干扰,12,2026-08-07 18:15:05,2026-08-07 18:15:59,54.1643,466.8,4473.68,False,,none,1,[0.941],4
2026-08-07_18-17-14,1.5B协同_中文干扰,13,2026-08-07 18:15:59,2026-08-07 18:17:14,75.1048,466.3,4487.71,False,,none,1,[0.914],4
2026-08-07_18-18-20,1.5B协同_中文干扰,14,2026-08-07 18:17:14,2026-08-07 18:18:20,65.7869,466.7,4487.64,True,静默跳跃-无害型,low,1,[0.949],4
2026-08-07_18-19-45,1.5B协同_中文干扰,15,2026-08-07 18:18:20,2026-08-07 18:19:45,85.0605,466.4,4487.79,True,静默跳跃-无害型,low,1,[0.922],4
2026-08-07_18-20-36,1.5B协同_中文干扰,16,2026-08-07 18:19:45,2026-08-07 18:20:36,50.7927,467.9,4479.45,False,,none,1,[0.965],4
2026-08-07_18-21-32,1.5B协同_中文干扰,17,2026-08-07 18:20:36,2026-08-07 18:21:32,56.5364,464.4,4483.12,True,静默跳跃-无害型,low,1,[0.934],4
2026-08-07_18-22-48,1.5B协同_中文干扰,18,2026-08-07 18:21:33,2026-08-07 18:22:48,75.6125,620.9,4487.71,True,静默跳跃-无害型,low,1,[0.938],4
2026-08-07_18-23-55,1.5B协同_中文干扰,19,2026-08-07 18:22:48,2026-08-07 18:23:55,66.4309,467.3,4487.58,False,,none,1,[0.887],4
2026-08-07_18-25-09,1.5B协同_中文干扰,20,2026-08-07 18:23:55,2026-08-07 18:25:09,74.0921,464.5,4483.41,False,,none,1,[0.969],4
