timestamp,stage,question_index,question_text,start_time,end_time,duration_seconds,cpu_before,cpu_peak,memory_used_mb
2026-06-28_15-09-30,原生苹果,1,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:09:16,2026-06-28 15:09:30,13.7326,0.0,560.1,1450.38
2026-06-28_15-09-52,原生苹果,2,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:09:30,2026-06-28 15:09:52,22.2663,0.0,468.3,1449.81
2026-06-28_15-10-16,原生苹果,3,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:09:52,2026-06-28 15:10:16,24.093,0.0,620.4,1449.32
2026-06-28_15-10-41,原生苹果,4,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:10:16,2026-06-28 15:10:41,24.4604,0.0,467.7,1449.38
2026-06-28_15-11-08,原生苹果,5,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:10:41,2026-06-28 15:11:08,27.3851,0.0,588.6,1450.3
2026-06-28_15-11-32,原生苹果,6,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:11:08,2026-06-28 15:11:32,23.2682,0.0,468.2,1450.14
2026-06-28_15-11-45,原生苹果,7,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:11:32,2026-06-28 15:11:45,13.194,0.0,592.3,1443.36
2026-06-28_15-12-20,原生苹果,8,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:11:45,2026-06-28 15:12:20,35.4848,0.0,468.2,1452.89
2026-06-28_15-12-44,原生苹果,9,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:12:20,2026-06-28 15:12:44,23.2302,0.0,468.3,1449.61
2026-06-28_15-12-59,原生苹果,10,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:12:44,2026-06-28 15:12:59,15.7463,0.0,619.0,1448.68
2026-06-28_15-13-16,原生苹果,11,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:12:59,2026-06-28 15:13:16,16.2403,0.0,530.8,1449.9
2026-06-28_15-13-43,原生苹果,12,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:13:16,2026-06-28 15:13:43,26.8622,0.0,618.6,1449.77
2026-06-28_15-14-06,原生苹果,13,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:13:43,2026-06-28 15:14:06,23.4012,0.0,652.1,1450.18
2026-06-28_15-14-25,原生苹果,14,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:14:06,2026-06-28 15:14:25,19.3956,0.0,619.4,1450.1
2026-06-28_15-14-50,原生苹果,15,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:14:26,2026-06-28 15:14:50,24.4325,0.0,558.8,1449.43
2026-06-28_15-15-10,原生苹果,16,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:14:50,2026-06-28 15:15:10,19.6217,0.0,623.8,1449.46
2026-06-28_15-15-25,原生苹果,17,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:15:10,2026-06-28 15:15:25,14.9092,0.0,468.2,1449.62
2026-06-28_15-15-41,原生苹果,18,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:15:25,2026-06-28 15:15:41,15.9562,0.0,468.3,1449.68
2026-06-28_15-15-55,原生苹果,19,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:15:41,2026-06-28 15:15:55,13.9019,0.0,468.3,1449.11
2026-06-28_15-16-14,原生苹果,20,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-06-28 15:15:55,2026-06-28 15:16:14,19.6133,0.0,558.6,1449.66
