timestamp,stage,question_index,question_text,start_time,end_time,duration_seconds,cpu_before,cpu_peak,memory_used_mb,has_error,error_types,severity,compactness,is_stable,lookback_triggered,rollback_count,step_count
2026-07-01_14-57-02,算法苹果_v1.1,1,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:56:48,2026-07-01 14:57:02,13.8387,0.0,468.0,1448.75,False,,none,1.1797,False,False,0,4
2026-07-01_14-57-27,算法苹果_v1.1,2,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:57:02,2026-07-01 14:57:27,25.0228,468.0,623.6,1452.09,True,局部自洽全局崩溃,high,1.3281,False,False,0,4
2026-07-01_14-57-51,算法苹果_v1.1,3,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:57:27,2026-07-01 14:57:51,24.4018,621.2,618.5,1451.61,False,,none,1.2109,False,False,0,4
2026-07-01_14-58-17,算法苹果_v1.1,4,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:57:51,2026-07-01 14:58:17,25.4995,467.9,650.5,1451.32,False,,none,1.2656,False,False,0,4
2026-07-01_14-58-45,算法苹果_v1.1,5,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:58:17,2026-07-01 14:58:45,27.6214,467.7,622.3,1451.14,False,,none,1.2578,False,False,0,4
2026-07-01_14-59-01,算法苹果_v1.1,6,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:58:45,2026-07-01 14:59:01,16.1135,466.8,530.6,1450.36,False,,none,1.2969,False,False,0,4
2026-07-01_14-59-18,算法苹果_v1.1,7,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:59:01,2026-07-01 14:59:18,16.9863,464.3,466.9,1450.5,False,,none,1.1953,False,False,0,4
2026-07-01_14-59-38,算法苹果_v1.1,8,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:59:18,2026-07-01 14:59:38,20.6558,466.3,621.8,1451.86,True,运算方向反转,high,1.2422,False,False,0,4
2026-07-01_14-59-58,算法苹果_v1.1,9,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:59:38,2026-07-01 14:59:58,19.8825,621.7,466.8,1451.19,True,运算方向反转,high,1.2969,False,False,0,4
2026-07-01_15-00-19,算法苹果_v1.1,10,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-01 14:59:58,2026-07-01 15:00:19,20.383,467.8,467.3,1451.25,True,运算方向反转,high,1.25,False,False,0,4
