timestamp,stage,question_index,question_text,start_time,end_time,duration_seconds,cpu_before,cpu_peak,memory_used_mb,has_error,error_types,severity,compactness,is_stable,lookback_triggered,rollback_count,satisfied_count,step_count
2026-07-02_15-04-01,算法苹果_v1.2,1,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:03:35,2026-07-02 15:04:01,25.8844,0.0,528.1,1451.5,False,,none,1.4375,False,False,0,0,5
2026-07-02_15-04-25,算法苹果_v1.2,2,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:04:01,2026-07-02 15:04:25,24.6738,466.6,618.9,1450.5,False,,none,1.375,False,False,0,0,5
2026-07-02_15-04-50,算法苹果_v1.2,3,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:04:25,2026-07-02 15:04:50,24.8365,618.6,621.5,1451.15,False,,none,1.4453,False,False,0,0,5
2026-07-02_15-05-20,算法苹果_v1.2,4,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:04:50,2026-07-02 15:05:20,29.5429,621.1,650.1,1451.2,False,,none,1.3828,False,False,0,0,5
2026-07-02_15-05-43,算法苹果_v1.2,5,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:05:20,2026-07-02 15:05:43,23.6849,623.3,466.8,1450.46,False,,none,1.4766,False,False,0,0,5
2026-07-02_15-05-58,算法苹果_v1.2,6,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:05:44,2026-07-02 15:05:58,14.1992,497.9,558.5,1449.89,False,,none,1.4062,False,False,0,0,5
2026-07-02_15-06-21,算法苹果_v1.2,7,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:05:58,2026-07-02 15:06:21,22.9191,464.4,619.4,1450.46,False,,none,1.4375,False,False,0,0,5
2026-07-02_15-06-43,算法苹果_v1.2,8,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:06:21,2026-07-02 15:06:43,22.2466,464.6,467.3,1451.03,False,,none,1.4531,False,False,0,0,5
2026-07-02_15-06-58,算法苹果_v1.2,9,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:06:43,2026-07-02 15:06:58,14.6012,463.8,620.3,1449.04,False,,none,1.4531,False,False,0,0,5
2026-07-02_15-07-20,算法苹果_v1.2,10,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:06:58,2026-07-02 15:07:20,22.3463,466.3,588.1,1450.56,False,,none,1.4453,False,False,0,0,5
2026-07-02_15-07-42,算法苹果_v1.2,11,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:07:20,2026-07-02 15:07:42,21.5035,465.9,622.8,1450.69,False,,none,1.4297,False,False,0,0,5
2026-07-02_15-08-02,算法苹果_v1.2,12,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:07:42,2026-07-02 15:08:02,20.0193,463.8,587.9,1450.54,True,运算方向反转,high,1.3672,False,False,0,0,5
2026-07-02_15-08-22,算法苹果_v1.2,13,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:08:02,2026-07-02 15:08:22,20.7082,589.9,466.0,1451.43,False,,none,1.4609,False,False,0,0,5
2026-07-02_15-08-45,算法苹果_v1.2,14,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:08:23,2026-07-02 15:08:45,22.8078,464.1,466.4,1450.35,False,,none,1.4297,False,False,0,0,5
2026-07-02_15-09-13,算法苹果_v1.2,15,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:08:45,2026-07-02 15:09:13,27.7799,467.5,589.4,1450.29,False,,none,1.4062,False,False,0,0,5
2026-07-02_15-09-34,算法苹果_v1.2,16,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:09:13,2026-07-02 15:09:34,21.1918,496.1,495.6,1451.53,False,,none,1.4297,False,False,0,0,5
2026-07-02_15-09-52,算法苹果_v1.2,17,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:09:34,2026-07-02 15:09:52,17.8171,468.2,560.5,1450.08,True,运算方向反转,high,1.4297,False,False,0,0,5
2026-07-02_15-10-06,算法苹果_v1.2,18,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:09:52,2026-07-02 15:10:06,13.3493,621.5,467.9,1445.64,True,运算方向反转,high,1.4297,False,False,0,0,5
2026-07-02_15-10-23,算法苹果_v1.2,19,Xiao Ming has 3 apples. Xiao Hong has 2 more apples than Xiao Ming. Xiao Hua has...,2026-07-02 15:10:06,2026-07-02 15:10:23,17.4928,464.3,467.4,1450.67,False,,none,1.3984,False,False,0,0,5
